"","Date","LUATTRUU.Index"
"598",1996-05-06,"765.45"
"599",1996-05-07,"764.91"
"600",1996-05-08,"767.53"
"601",1996-05-09,"766.91"
"602",1996-05-10,"770.54"
"603",1996-05-13,"771.70"
"604",1996-05-14,"773.93"
"605",1996-05-15,"774.39"
"606",1996-05-16,"772.31"
"607",1996-05-17,"774.24"
"608",1996-05-20,"775.47"
"609",1996-05-21,"774.86"
"610",1996-05-22,"776.40"
"611",1996-05-23,"774.32"
"612",1996-05-24,"775.86"
"613",1996-05-28,"775.86"
"614",1996-05-29,"772.39"
"615",1996-05-30,"772.62"
"616",1996-05-31,"770.00"
"617",1996-06-04,"770.37"
"618",1996-06-05,"772.06"
"619",1996-06-06,"774.60"
"620",1996-06-07,"768.06"
"621",1996-06-10,"767.21"
"622",1996-06-11,"766.60"
"623",1996-06-12,"765.44"
"624",1996-06-13,"766.44"
"625",1996-06-14,"768.91"
"626",1996-06-17,"770.91"
"627",1996-06-18,"770.06"
"628",1996-06-19,"769.06"
"629",1996-06-20,"768.98"
"630",1996-06-21,"769.91"
"631",1996-06-24,"770.83"
"632",1996-06-25,"772.14"
"633",1996-06-26,"772.52"
"634",1996-06-27,"775.29"
"635",1996-06-28,"779.76"
"636",1996-07-01,"779.36"
"637",1996-07-02,"777.49"
"638",1996-07-03,"778.58"
"639",1996-07-05,"768.91"
"640",1996-07-08,"769.30"
"641",1996-07-09,"770.94"
"642",1996-07-10,"773.35"
"643",1996-07-11,"774.68"
"644",1996-07-12,"776.39"
"645",1996-07-15,"775.23"
"646",1996-07-16,"778.03"
"647",1996-07-17,"777.80"
"648",1996-07-18,"782.01"
"649",1996-07-19,"779.83"
"650",1996-07-22,"778.50"
"651",1996-07-23,"780.06"
"652",1996-07-24,"777.64"
"653",1996-07-25,"778.42"
"654",1996-07-26,"778.89"
"655",1996-07-29,"776.78"
"656",1996-07-30,"778.66"
"657",1996-07-31,"781.61"
"658",1996-08-01,"786.99"
"659",1996-08-02,"791.75"
"660",1996-08-05,"791.75"
"661",1996-08-06,"791.13"
"662",1996-08-07,"790.81"
"663",1996-08-08,"790.42"
"664",1996-08-09,"792.92"
"665",1996-08-12,"793.63"
"666",1996-08-13,"790.42"
"667",1996-08-14,"790.74"
"668",1996-08-15,"789.49"
"669",1996-08-16,"791.75"
"670",1996-08-19,"790.97"
"671",1996-08-20,"791.13"
"672",1996-08-21,"790.35"
"673",1996-08-22,"790.03"
"674",1996-08-23,"786.75"
"675",1996-08-26,"784.02"
"676",1996-08-27,"785.11"
"677",1996-08-28,"784.72"
"678",1996-08-29,"782.61"
"679",1996-08-30,"779.98"
"680",1996-09-03,"781.60"
"681",1996-09-04,"780.36"
"682",1996-09-05,"779.03"
"683",1996-09-06,"780.67"
"684",1996-09-09,"782.77"
"685",1996-09-10,"781.29"
"686",1996-09-11,"781.52"
"687",1996-09-12,"783.55"
"688",1996-09-13,"789.01"
"689",1996-09-16,"789.63"
"690",1996-09-17,"786.91"
"691",1996-09-18,"786.44"
"692",1996-09-19,"785.35"
"693",1996-09-20,"785.97"
"694",1996-09-23,"787.30"
"695",1996-09-24,"789.71"
"696",1996-09-25,"792.13"
"697",1996-09-26,"794.08"
"698",1996-09-27,"793.22"
"699",1996-09-30,"792.80"
"700",1996-10-01,"795.17"
"701",1996-10-02,"796.91"
"702",1996-10-03,"796.99"
"703",1996-10-04,"802.06"
"704",1996-10-07,"800.71"
"705",1996-10-08,"800.40"
"706",1996-10-09,"798.97"
"707",1996-10-10,"797.07"
