"","Date","DXY.Index"
"4090",2005-11-17,"91.88"
"4091",2005-11-18,"91.93"
"4092",2005-11-21,"92.03"
"4093",2005-11-22,"91.50"
"4094",2005-11-23,"91.37"
"4095",2005-11-24,"91.60"
"4096",2005-11-25,"92.04"
"4097",2005-11-28,"90.98"
"4098",2005-11-29,"91.62"
"4099",2005-11-30,"91.57"
"4100",2005-12-01,"91.82"
"4101",2005-12-02,"91.93"
"4102",2005-12-05,"91.48"
"4103",2005-12-06,"91.44"
"4104",2005-12-07,"91.89"
"4105",2005-12-08,"91.26"
"4106",2005-12-09,"91.25"
"4107",2005-12-12,"90.32"
"4108",2005-12-13,"90.38"
"4109",2005-12-14,"89.83"
"4110",2005-12-15,"90.02"
"4111",2005-12-16,"89.71"
"4112",2005-12-19,"89.87"
"4113",2005-12-20,"90.78"
"4114",2005-12-21,"90.94"
"4115",2005-12-22,"90.72"
"4116",2005-12-23,"90.78"
"4117",2005-12-27,"91.19"
"4118",2005-12-28,"91.21"
"4119",2005-12-29,"91.10"
"4120",2005-12-30,"91.17"
"4121",2006-01-03,"89.84"
"4122",2006-01-04,"89.14"
"4123",2006-01-05,"89.33"
"4124",2006-01-06,"88.91"
"4125",2006-01-09,"89.25"
"4126",2006-01-10,"89.33"
"4127",2006-01-11,"88.99"
"4128",2006-01-12,"89.44"
"4129",2006-01-13,"88.89"
"4130",2006-01-16,"89.12"
"4131",2006-01-17,"89.30"
"4132",2006-01-18,"89.25"
"4133",2006-01-19,"89.39"
"4134",2006-01-20,"88.97"
"4135",2006-01-23,"87.95"
"4136",2006-01-24,"88.06"
"4137",2006-01-25,"88.33"
"4138",2006-01-26,"88.62"
"4139",2006-01-27,"89.32"
"4140",2006-01-30,"89.42"
"4141",2006-01-31,"88.96"
"4142",2006-02-01,"89.51"
"4143",2006-02-02,"89.41"
"4144",2006-02-03,"89.89"
"4145",2006-02-06,"90.29"
"4146",2006-02-07,"90.24"
"4147",2006-02-08,"90.43"
"4148",2006-02-09,"90.29"
"4149",2006-02-10,"90.55"
"4150",2006-02-13,"90.54"
"4151",2006-02-14,"90.54"
"4152",2006-02-15,"90.72"
"4153",2006-02-16,"90.73"
"4154",2006-02-17,"90.64"
"4155",2006-02-20,"90.42"
"4156",2006-02-21,"90.55"
"4157",2006-02-22,"90.67"
"4158",2006-02-23,"90.39"
"4159",2006-02-24,"90.61"
"4160",2006-02-27,"90.63"
"4161",2006-02-28,"90.11"
"4162",2006-03-01,"90.22"
"4163",2006-03-02,"89.56"
"4164",2006-03-03,"89.66"
"4165",2006-03-06,"89.89"
"4166",2006-03-07,"90.77"
"4167",2006-03-08,"90.62"
"4168",2006-03-09,"90.75"
"4169",2006-03-10,"90.85"
"4170",2006-03-13,"90.54"
"4171",2006-03-14,"90.00"
"4172",2006-03-15,"89.70"
"4173",2006-03-16,"89.07"
"4174",2006-03-17,"88.92"
"4175",2006-03-20,"89.13"
"4176",2006-03-21,"89.62"
"4177",2006-03-22,"89.72"
"4178",2006-03-23,"90.46"
"4179",2006-03-24,"90.07"
"4180",2006-03-27,"90.07"
"4181",2006-03-28,"90.25"
"4182",2006-03-29,"90.21"
"4183",2006-03-30,"89.39"
"4184",2006-03-31,"89.73"
"4185",2006-04-03,"89.63"
"4186",2006-04-04,"88.83"
"4187",2006-04-05,"88.63"
"4188",2006-04-06,"88.96"
"4189",2006-04-07,"89.69"
"4190",2006-04-10,"89.65"
"4191",2006-04-11,"89.44"
"4192",2006-04-12,"89.62"
"4193",2006-04-13,"89.59"
"4194",2006-04-17,"88.64"
"4195",2006-04-18,"88.24"
"4196",2006-04-19,"87.79"
"4197",2006-04-20,"88.25"
"4198",2006-04-21,"88.05"
"4199",2006-04-24,"87.45"
"4200",2006-04-25,"87.32"
"4201",2006-04-26,"87.22"
"4202",2006-04-27,"86.63"
"4203",2006-04-28,"86.11"
"4204",2006-05-01,"85.97"
"4205",2006-05-02,"85.79"
"4206",2006-05-03,"85.84"
"4207",2006-05-04,"85.36"
"4208",2006-05-05,"85.14"
"4209",2006-05-08,"85.23"
"4210",2006-05-09,"84.83"
"4211",2006-05-10,"84.50"
"4212",2006-05-11,"84.27"
"4213",2006-05-12,"83.91"
"4214",2006-05-15,"84.54"
"4215",2006-05-16,"84.17"
"4216",2006-05-17,"84.85"
"4217",2006-05-18,"84.51"
"4218",2006-05-19,"84.88"
"4219",2006-05-22,"84.35"
"4220",2006-05-23,"84.35"
"4221",2006-05-24,"84.95"
"4222",2006-05-25,"84.71"
"4223",2006-05-26,"85.16"
"4224",2006-05-29,"85.05"
"4225",2006-05-30,"84.28"
"4226",2006-05-31,"84.72"
"4227",2006-06-01,"84.79"
"4228",2006-06-02,"84.04"
"4229",2006-06-05,"84.14"
"4230",2006-06-06,"84.73"
"4231",2006-06-07,"84.99"
"4232",2006-06-08,"85.84"
"4233",2006-06-09,"85.72"
"4234",2006-06-12,"85.85"
"4235",2006-06-13,"86.48"
"4236",2006-06-14,"86.14"
"4237",2006-06-15,"86.02"
"4238",2006-06-16,"85.94"
